Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
361,0,-5.91846,30.0248,-348.288,69488,8037.59,-1141.03,23.0428,-199.524,0
362,0,-5.93392,31.7195,-395.525,78706.2,9618.78,-1325.5,24.3098,-199.007,0
363,0,-6.51941,33.5628,-438.026,86827.1,10739,-1146.1,24.526,-198.234,0
364,0,-7.96692,35.2093,-468.052,92456.5,11035.4,-976.968,23.5892,-197.537,0
365,0,-8.5041,35.8423,-484.792,95558.4,10494.2,-1259.65,21.6544,-197.114,0
366,0,-8.99341,34.3482,-490.608,96449.9,9294.89,-1576.56,18.9432,-196.592,0
367,0,-9.56792,32.127,-486.311,95542.5,7763.63,-1783.39,15.9511,-196.464,0
368,0,-10.0921,29.4986,-475.716,93428.6,5923.97,-1950.68,12.4402,-196.395,0
369,0,-9.98097,28.2245,-465.637,91380.9,4223.96,-2407.34,9.06039,-196.249,0
370,0,-10.0468,27.1787,-456.867,89760.7,2716.71,-2819.23,5.9396,-196.472,0
371,0,-11.0518,25.0517,-451.642,89035.2,1531.76,-2863.58,3.39112,-197.137,0
372,0,-10.4614,23.5712,-451.52,89324.7,961.398,-2981.08,2.12942,-197.831,0
373,0,-10.2938,22.4187,-453.834,90007.7,904.049,-3031.59,1.99179,-198.327,0
374,0,-10.5043,21.734,-456.855,90895.8,878.483,-3126.57,1.92368,-198.959,0
375,0,-11.5647,19.8291,-458.629,91584.6,463.17,-3437.54,1.01004,-199.692,0
376,0,-12.6153,18.9887,-458.914,91859.9,247.929,-3741.77,0.54017,-200.168,0
377,0,-13.5406,18.8291,-457.546,91611.4,192.556,-3781.99,0.420985,-200.223,0
378,0,-14.1294,18.8721,-455.458,91253.8,326.597,-3918.38,0.717497,-200.356,0
379,0,-13.3719,19.0261,-454.281,90984.8,638.834,-3936.68,1.40625,-200.283,0
380,0,-13.6308,19.1263,-453.985,90827,778.292,-3808.94,1.71428,-200.066,0
381,0,-13.6559,18.5944,-452.738,90533.7,733.45,-3845.67,1.62005,-199.969,0
382,0,-13.3079,18.9587,-451.725,90163.7,815.242,-3552.81,1.80513,-199.599,0
383,0,-13.4095,18.8413,-450.212,89810.2,1040.25,-3476.75,2.31059,-199.484,0
384,0,-13.6337,18.9204,-450.15,89797.8,1110.28,-3701.13,2.4665,-199.484,0
385,0,-13.3525,18.7014,-450.62,89901,1136.01,-3814.27,2.52102,-199.505,0
386,0,-12.7613,18.2955,-450.812,90013.5,1482.34,-3639.39,3.28769,-199.67,0
387,0,-12.0983,18.374,-452.325,90346.8,1971.01,-3527.79,4.35638,-199.739,0
388,0,-12.1913,19.0036,-454.738,90854.2,2491.99,-3548.01,5.47947,-199.794,0
